name,slug,address,city,state,zip,phone,hours,rating,reviews,website,services,featured,,,,,
Tate & Sons Heavy Duty Towing Atlanta,1789 Lakewood Terrace SE,Atlanta,GA,30315,1 770-899-2595,https://tateandsonstowing.com/,4.5,75,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.705378,-84.3793106
Hawaii Towing Company Inc.,94-444 Apowale St,Waipahu,HI,96797,1 808-672-7711,https://hawaiitowingcompany.com/,4.9,263,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3861689,-158.0174486
Freedom Tow Hawaii,60 N Nimitz Hwy,Honolulu,HI,96817,1 808-859-5019,https://sites.google.com/view/freedomtowhawaii/home,4.9,66,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.311277,-157.8639483
O'Sung Towing & Recovery,1229 N King St,Honolulu,HI,96817,1 808-845-6030,http://osungtowing.com/,4.5,236,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3266887,-157.8703343
VIP Towing,1006 Mikole St,Honolulu,HI,96819,1 808-495-4845,http://www.junkmycarhawaii.com/,1.5,274,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3026611,-157.8713465
24Hour Island Towing,1260 St Louis Dr,Honolulu,HI,96816,1 808-460-4660,http://honolululocaltowcompany.com/,3.8,69,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.290486,-157.8106557
TIP TOWS TOWING,590 Farrington Hwy #210-200,Kapolei,HI,96707,1 808-222-3432,https://www.towingoahu.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,198,"[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]","[""5AM-12AM""]",21.3375977,-158.0806204
Honolulu Towing,933 Owen St,Honolulu,HI,96819,1 808-839-9494,,2.8,95,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.336216,-157.8833372
Transport Oahu - Towing & Equipment Hauling,1723 Palolo Ave,Honolulu,HI,96816,1 808-798-5222,https://www.transportoahu.com/,4.6,11,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.2941636,-157.7998599
Integrity Towing,99-063 Moanalua Rd A,Aiea,HI,96701,1 808-258-7515,http://www.integrity-towing.com/,4.5,54,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3808648,-157.9323591
MK Towing LLC,95-156 Waimakua Pl,Mililani,HI,96789,1 808-227-3354,,4.9,30,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.4619893,-158.0157498
Oahu Towing Company,94-993 Kaaholo St,Waipahu,HI,96797,1 808-425-9250,https://www.oahutowingcompany.com/,4.3,21,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.3968778,-158.0207497
Empire Towing & Recovery LLC.,777 Intrepid St,Kapolei,HI,96707,1 808-621-2800,http://empiretowinghawaii.com/,4.5,87,"[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""Closed""]","[""Closed""]",21.3171683,-158.0782625
A's Towing Hawaii,91-257 Hanapouli Cir #18R,Ewa Beach,HI,96706,1 808-216-0445,,5,1,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",21.333891,-158.026756
All Island Automotive Towing,96-1268 Waihona St,Pearl City,HI,96782,1 808-682-0770,,1.9,205,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Closed""]","[""Closed""]",21.4103237,-157.9773149
Express Towing,822 Halekauwila St,Honolulu,HI,96813,1 808-554-0404,https://www.expresstowinghonolulu.com/,5,22,"[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]",21.2982364,-157.8564895
Pacific Island Towing LLC,21 Kalanianaole St,Hilo,HI,96720,1 808-339-0083,,5,133,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",19.7234368,-155.0635859
Tow Guys 808-885-4133,64-5223 Kauakea St,Waimea,HI,96743,1 808-885-4133,https://g.page/r/Cfyy-9a53HHMEB0/review,4.8,37,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",20.04022,-155.616201
Maui Island Towing by Kihei Auto Sales,"177 Hale Kuai Street 81 Alae Street Kahului HI 96762, 177 Hale Kuai St",Kihei,HI,96753,1 808-280-4234,,4.9,47,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",20.7453938,-156.4495402
Mac Towing LLC,74-4925 Queen Ka'ahumanu Hwy,Kailua-Kona,HI,96740,1 808-238-4863,,5,163,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",19.6830595,-156.0164403
Idaho State Towing and Recovery,3705 Arthur St,Caldwell,ID,83605,1 208-467-2405,https://idahostatetowingnow.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.6,95,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.6446914,-116.6560459
ACT Towing and Off-Road Recovery,216 W 39th St,Boise,ID,83714,1 208-375-3121,https://boisetowtruck.com/,4.9,295,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.6259084,-116.2482845
Eaton Towing Idaho Falls,6160 S Doug Andrus Dr,Idaho Falls,ID,83402,1 208-317-8787,http://www.eatontowing.com/,4.9,280,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.4425123,-112.1099471
Rocky Mountain Towing,465 Partridge Pl,Boise,ID,83713,1 208-861-2880,http://rockymountaintowingidaho.com/,4.6,116,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.60893,-116.316359
Diamond S Towing,6399 W Diamond St,Boise,ID,83709,1 208-850-8697,https://www.dstidaho.com/,4.9,553,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.5671945,-116.2619673
Valley View Towing,3705 Arthur St,Caldwell,ID,83605,1 208-459-9202,,4.5,95,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]","[""Closed""]",43.6446571,-116.6559564
Nesmith Brother’s Towing,505 N Main St Suite B,Meridian,ID,83642,1 208-856-6404,https://nesmithtowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,497,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.6082961,-116.3922928
Prime Towing and Recovery LLC,2101 W Omni Dr,Idaho Falls,ID,83402,1 208-530-2161,https://primetowingidaho.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,5,130,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.44906,-112.0751989
B & W Wrecker Boise,8 S Garden St,Boise,ID,83705,1 208-342-2541,http://www.bwwrecker.com/,4.9,315,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.6037208,-116.238325
Canyon County Towing,290 1st Ave N,Nampa,ID,83687,1 208-371-3400,https://www.canyoncountytowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.7,233,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.591972,-116.569358
A1 Towing & Repair,1981 Osterloh Ave,Twin Falls,ID,83301,1 208-734-0473,https://www.facebook.com/a1towingandrepair/,4.4,241,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.5381454,-114.446319
Boise Valley Towing,6381 Supply Way,Boise,ID,83716,1 208-389-9707,http://www.boisevalleytowing.com/,4,84,"[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]",43.5444756,-116.1831129
Stallings Towing Idaho Falls,3409 N 15th E Suite A,Idaho Falls,ID,83401,1 208-269-0168,https://stallingstowing.com/,4.9,79,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.5269454,-112.0041383
QuickTow & Recovery,3913 Summit Ln,Nampa,ID,83687,1 208-473-6764,https://www.quicktow.us/,4.8,90,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.590776,-116.5225274
Eaton Towing Boise,2812 S Orchard St,Boise,ID,83705,1 208-520-5486,http://www.eatontowing.com/,5,51,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.5768103,-116.243262
Mustang Towing LLC,22 Hanson Dr,Horseshoe Bend,ID,83629,1 208-793-3333,https://mustangtowingtireandservice.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick%23contact,4.6,102,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.9268317,-116.1901824
East Idaho Towing,187 Laurel Dr,Chubbuck,ID,83202,1 208-757-6585,,5,42,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.9253443,-112.465197
Abyss Towing,2668 S Cole Rd,Boise,ID,83709,1 208-288-0471,http://www.abysstowing.com/,3.3,188,"[""8:30-11:30AM"",""12:30-5:30PM""]","[""8:30-11:30AM"",""12:30-5:30PM""]","[""8:30-11:30AM"",""12:30-5:30PM""]","[""8:30-11:30AM"",""12:30-5:30PM""]","[""8:30-11:30AM"",""12:30-5:30PM""]","[""Closed""]","[""Closed""]",43.5785589,-116.273573
Marky's Super Tow,1431 Kimberly Rd,Twin Falls,ID,83301,1 208-734-1869,https://markysauto.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.6,339,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.5489193,-114.4556924
Dynamic Towing,3430 E Leihm Ln,Idaho Falls,ID,83401,1 208-403-4164,,4.7,150,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",43.5151981,-111.9657086
Joe's Towing & Recovery,2233 Springfield Rd,Bloomington,IL,61701,1 309-829-2123,http://www.joes-towing.com/,4.5,1743,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.4562385,-89.0096578
Tom's 24 Hour Towing Services,111 Mc Creery Ave,Springfield,IL,62703,1 217-522-5880,https://toms24hourtowingservice.com/,4.4,160,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.800672,-89.6275931
Angelo's Towing and Recovery,633 W Monroe St,Belleville,IL,62220,1 618-416-1461,https://www.angelotowingandrecovery.com/,4.9,294,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",38.5099283,-89.994675
Chicago 24 Hour Towing,5332 N Elston Ave #1,Chicago,IL,60630,1 773-681-9670,http://www.towingchicago.com/,4.7,543,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.978012,-87.7567972
Left Lane Towing Inc.,,,,,1 773-531-1587,https://www.lltow.com/,5,155,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.7741695,-87.731879
Gruas en Illinois Towing,,,,,1 630-776-2873,https://gruasyyonkesenillinois.com/,4.6,79,"[""5AM-9PM""]","[""5AM-9PM""]","[""5AM-9PM""]","[""5AM-9PM""]","[""5AM-9PM""]","[""5AM-9PM""]","[""Closed""]",41.9193854,-88.072608
Illinois Valley Towing,310 S Olive St,Peoria,IL,61602,1 309-674-8697,https://674tows.com/,4.1,65,"[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""9AM-4PM""]","[""Closed""]","[""Closed""]",40.6784071,-89.6112265
A&M Towing & Recovery LLC,,,,,1 708-215-0117,https://www.aandmtowing.net/,5,188,"[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""7AM-9PM""]","[""8AM-6PM""]","[""8AM-6PM""]",41.519211,-87.79777
Mulligan's 24 Hr Towing Service,2403 S Grand Ave E,Springfield,IL,62703,1 217-523-5467,,3.8,139,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7877422,-89.6216373
Dark Angel Towing & Recovery Inc.,1025 N Pulaski Rd,Chicago,IL,60651,1 773-803-9688,http://darkangeltowingchicago.com/,3.9,379,"[""12-4AM"",""8AM-4AM""]","[""8AM-4AM""]","[""8AM-4AM""]","[""8AM-12AM""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.8999407,-87.7258644
GIBSON TOWING & RECOVERY BUYING OF JUNK VEHICLES,2041 US-34,Leland,IL,60531,1 815-651-9436,http://gibsontow.com/,4.9,222,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.5981078,-88.7829266
Winks Towing,1902 W Market St,Bloomington,IL,61701,1 309-828-7812,https://winkstowing.com/,4.9,366,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.4834761,-89.0224688
Illinois Central Towing,5 Legacy Dr Building #2,Goodfield,IL,61742,1 309-226-5000,,5,8,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.6206784,-89.2774102
E&R Towing,16325 Crawford Ave,Markham,IL,60428,1 708-333-7300,https://ertowing.com/%3Futm_campaign%3Dcorporate_branding%26utm_source%3Dgoogle%26utm_medium%3Dorganic,3.5,650,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.5921169,-87.7133825
Dependable Towing & Recovery,2006 S Griswold St,Peoria,IL,61605,1 309-676-5611,https://www.towwithdependable.com/,4.3,49,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.6656005,-89.6326199
North Shore Towing & Semi Truck Heavy Wrecker,2527 Oakton St,Evanston,IL,60202,1 847-864-2828,https://northshoretowinginc.com/,4.5,1822,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.0289158,-87.7086264
"West & Sons Towing, Inc.",1821 W Fullerton Ave,Addison,IL,60101,1 630-627-4466,http://westandsonstow.com/,4.5,246,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.9185807,-88.035325
Indy Towing Service Inc,3350 Sutherland Ave,Indianapolis,IN,46218,1 317-926-2335,http://www.protowindy.net/,1.8,593,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8182328,-86.1368514
Indiana's Finest Towing (Indianapolis),7576 W Washington St,Indianapolis,IN,46231,1 317-244-8697,http://www.indytows.com/,2,317,"[""8AM-12AM""]","[""8AM-12AM""]","[""8AM-12AM""]","[""8AM-12AM""]","[""8AM-12AM""]","[""8AM-12AM""]","[""8AM-12AM""]",39.7402381,-86.2930068
Ward's Towing LLC.,7035 Brookville Rd,Indianapolis,IN,46239,1 317-451-4229,https://wardstowingllc.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,2544,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7534785,-86.0464007
Superior Towing Inc.,3401 E Vermont St,Indianapolis,IN,46201,1 317-698-0358,https://superiortowinginc.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.6,370,"[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""8AM-5PM""]","[""Closed""]",39.7726538,-86.1079341
Guerrero Towing,2922 Merchants Dr,Indianapolis,IN,46222,1 317-701-7448,http://www.guerrerotowing.com/,4.8,719,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8089125,-86.222829
Yaffo Towing Indy,3653 Lafayette Rd,Indianapolis,IN,46222,1 317-620-7777,https://yaffotowing.com/indianapolis/,4.7,5954,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8218255,-86.2313917
"Hook""EM"" Up TOWING & Roadside LLC",3409 S Harding St,Indianapolis,IN,46217,1 317-646-8208,https://indyhookemuptowing.com/,4.9,311,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7161489,-86.1867217
Indiana Towing,3805 Franklin St,Michigan City,IN,46360,1 219-714-4500,https://towindiana.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,58,"[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""Closed""]","[""Closed""]",41.6849576,-86.8946614
JR's Services And Recovery LLC,2334 S California St,Indianapolis,IN,46225,1 317-629-5646,https://jrstowingservice.com/,4.2,289,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7342262,-86.1695251
Johnson's Towing Service,1001 E 30th St,Indianapolis,IN,46205,1 317-923-7563,https://www.indianapolisautosalvage.com/,4.2,59,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.810533,-86.139376
Cook's Towing Service Inc,1439 S Holt Rd,Indianapolis,IN,46241,1 317-241-9443,http://www.cookstowing.com/,3.7,125,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7456726,-86.2247318
"Steve's Towing, Inc",4300 S Meridian St Suite B,Indianapolis,IN,46217,1 317-783-0372,http://stevestowinginc.com/,4.9,88,"[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""7AM-6PM""]","[""8AM-3PM""]","[""Closed""]",39.7029303,-86.1588485
Indiana Recovery Services,22265 US-31,Cicero,IN,46034,1 317-606-8187,http://www.indianarecoveryservices.net/,3.4,193,"[""10:30AM-4:30PM""]","[""10:30AM-4:30PM""]","[""10:30AM-4:30PM""]","[""10:30AM-4:30PM""]","[""10:30AM-4:30PM""]","[""Closed""]","[""Closed""]",40.1113319,-86.1271133
Chuckles Rescue & Towing- Medium and Heavy Duty Towing Indianapolis| Heavy Wrecker Service,3901 W 86th St Suite 360,Indianapolis,IN,46268,1 317-721-9558,http://chucklesrescue.com/,4.7,175,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""3PM-12AM""]",39.9109121,-86.2274421
Garza Towing LLC,1648 Lutherwood Dr,Indianapolis,IN,46219,1 317-927-5144,https://www.facebook.com/garzatowingllc/,4.5,71,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7907892,-86.0103604
Doug's Wrecker Service,2551 Emerson Acc,Indianapolis,IN,46218,1 317-446-0427,,4.6,95,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8045268,-86.0807468
Fishers Towing Service,8280 E 216th St,Cicero,IN,46034,1 317-774-9943,http://fisherstowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.6,53,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.1022224,-86.0261306
Northwest Towing & Recovery,1625 E 60th St,Anderson,IN,46013,1 765-643-3333,http://www.northwesttowing.com/,4.2,375,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",40.0533128,-85.6580268
White Glove Towing Service Greenwood Tow Truck First And Fastest,1777 US 31 S,Greenwood,IN,46143,1 317-500-5194,http://public.towbook.com/ZOWe,4.6,370,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.5910173,-86.1002121
Interstate Towing,2460 N Graham Ave,Indianapolis,IN,46218,1 317-359-9611,https://www.interstatetow.com/,4.3,412,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8024419,-86.0700565
Central Iowa Towing and Recovery,2560 NE Broadway Ave,Des Moines,IA,50317,1 515-290-4188,https://centraliatowing.com/,4.8,741,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.6445202,-93.5706478
Joe's Quick Tow,3319 Hwy 1 SW BLDG A,Iowa City,IA,52240,1 319-936-6068,https://joesquicktow.com/,4.9,159,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.6229143,-91.6075804
Mid-Iowa Towing,109 E 28th St,Des Moines,IA,50317,1 515-265-6195,https://midiowatowing.net/,3.5,132,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.590324,-93.562522
Legacy Towing & Recovery,,,,,1 928-933-8697,https://legacytow.com/,4.8,93,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",35.239571,-110.0071734
Mid-Iowa Towing,1914 Kountry Ln,Fort Dodge,IA,50501,1 515-955-1700,http://www.mid-iowatowing.com/,3.9,184,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.5140422,-94.2255193
Valley Wide Towing & Recovery,339 W 13th St,Waterloo,IA,50702,1 319-888-3144,https://valleywidetowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,404,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",42.4874521,-92.3315959
Holiday Wrecker & Crane,1060 Hinkle Dr,Tiffin,IA,52340,1 319-351-9091,,4.5,129,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",41.6896077,-91.6671587
